n, time
35700, 0.010753
35800, 0.011524
35900, 0.011138
36000, 0.011288
36100, 0.012957
36200, 0.010094
36300, 0.011546
36400, 0.013221
36500, 0.009266
36600, 0.011495
36700, 0.010747
36800, 0.009998
36900, 0.011275
37000, 0.011689
37100, 0.010075
37200, 0.009894
37300, 0.009909
37400, 0.011226
37500, 0.010844
37600, 0.012230
37700, 0.011165
37800, 0.011449
37900, 0.011526
38000, 0.009942
38100, 0.011618
38200, 0.012597
38300, 0.010008
38400, 0.010931
38500, 0.011729
38600, 0.010773
38700, 0.012404
38800, 0.012994
38900, 0.012198
39000, 0.010848
39100, 0.012094
39200, 0.011430
39300, 0.009691
39400, 0.012069
39500, 0.011526
39600, 0.010852
39700, 0.012698
39800, 0.013405
39900, 0.012585
40000, 0.011025
40100, 0.011006
40200, 0.011305
40300, 0.011300
40400, 0.011230
40500, 0.012271
40600, 0.011634
40700, 0.013671
40800, 0.011783
40900, 0.011797
41000, 0.011763
41100, 0.012522
41200, 0.011479
41300, 0.013708
41400, 0.010396
41500, 0.011763
41600, 0.012636
41700, 0.013003
41800, 0.011465
41900, 0.012308
42000, 0.012199
42100, 0.010949
42200, 0.013705
42300, 0.013069
42400, 0.013437
42500, 0.012802
42600, 0.011172
42700, 0.014576
42800, 0.013547
42900, 0.013181
43000, 0.010923
43100, 0.012875
43200, 0.013654
43300, 0.012298
43400, 0.011709
43500, 0.012641
43600, 0.012735
43700, 0.012689
43800, 0.012612
43900, 0.013448
44000, 0.014650
44100, 0.012815
44200, 0.014159
44300, 0.012233
44400, 0.013842
44500, 0.014320
44600, 0.012620
44700, 0.014560
44800, 0.012326
44900, 0.013096
45000, 0.012365
45100, 0.012878
45200, 0.013645
45300, 0.012417
45400, 0.014632
45500, 0.014797
45600, 0.014063
45700, 0.013820
45800, 0.013508
45900, 0.012693
46000, 0.014227
46100, 0.015263
46200, 0.016602
46300, 0.015107
46400, 0.016005
46500, 0.015757
46600, 0.016614
46700, 0.013424
46800, 0.014002
46900, 0.014404
47000, 0.013715
47100, 0.015189
47200, 0.015121
47300, 0.014721
47400, 0.014642
47500, 0.016236
47600, 0.015719
47700, 0.014555
47800, 0.013400
47900, 0.013638
48000, 0.016104
48100, 0.016026
48200, 0.015721
48300, 0.015707
48400, 0.014258
48500, 0.014257
48600, 0.013554
48700, 0.012249
48800, 0.013592
48900, 0.014697
49000, 0.014657
49100, 0.015139
49200, 0.014803
49300, 0.013861
49400, 0.012447
49500, 0.013575
49600, 0.014769
49700, 0.012395
49800, 0.014871
49900, 0.014249
50000, 0.014523
50100, 0.015157
50200, 0.014429
50300, 0.014466
50400, 0.016627
50500, 0.015596
50600, 0.014676
50700, 0.016215
50800, 0.015379
50900, 0.015142
51000, 0.013747
51100, 0.013733
51200, 0.016263
51300, 0.017100
51400, 0.013913
51500, 0.016212
51600, 0.017167
51700, 0.015565
51800, 0.015596
51900, 0.014317
52000, 0.017716
52100, 0.015002
52200, 0.017717
52300, 0.015825
52400, 0.016957
52500, 0.014216
52600, 0.016841
52700, 0.014625
52800, 0.015930
52900, 0.017636
53000, 0.016966
53100, 0.015068
53200, 0.016870
53300, 0.015464
53400, 0.015082
53500, 0.015041
53600, 0.013980
53700, 0.016046
53800, 0.015749
53900, 0.017274
54000, 0.017350
54100, 0.014960
54200, 0.016464
54300, 0.015927
54400, 0.016522
54500, 0.017117
54600, 0.016166
54700, 0.016369
54800, 0.015588
54900, 0.017735
55000, 0.016266
55100, 0.017926
55200, 0.018658
55300, 0.017500
55400, 0.016410
55500, 0.016974
55600, 0.016592
55700, 0.018285
55800, 0.019768
55900, 0.018338
56000, 0.016111
56100, 0.016891
56200, 0.017425
56300, 0.016060
56400, 0.015924
56500, 0.015695
56600, 0.015907
56700, 0.017574
56800, 0.016598
56900, 0.016696
57000, 0.017663
57100, 0.017568
57200, 0.017737
57300, 0.017077
57400, 0.016451
57500, 0.015043
57600, 0.017247
57700, 0.017835
57800, 0.017355
57900, 0.016428
58000, 0.018015
58100, 0.018547
58200, 0.017490
58300, 0.016489
58400, 0.016912
58500, 0.016087
58600, 0.017056
58700, 0.017465
58800, 0.017947
58900, 0.016167
59000, 0.019107
59100, 0.018351
59200, 0.017744
59300, 0.016793
59400, 0.018377
59500, 0.020942
59600, 0.015892
59700, 0.018886
59800, 0.017702
59900, 0.018999
60000, 0.016691
60100, 0.017843
60200, 0.018201
60300, 0.016286
60400, 0.015343
60500, 0.018429
60600, 0.018747
60700, 0.017563
60800, 0.017427
60900, 0.016719
61000, 0.015956
61100, 0.018365
61200, 0.019756
61300, 0.020342
61400, 0.021034
61500, 0.018470
61600, 0.017348
61700, 0.018229
61800, 0.016639
61900, 0.016735
62000, 0.017665
62100, 0.017782
62200, 0.018252
62300, 0.017334
62400, 0.017804
62500, 0.017829
62600, 0.018518
62700, 0.016977
62800, 0.017286
62900, 0.018908
63000, 0.019936
63100, 0.019505
63200, 0.020105
63300, 0.017116
63400, 0.018578
63500, 0.019164
63600, 0.022405
63700, 0.017306
63800, 0.020390
63900, 0.019470
64000, 0.017705
64100, 0.017733
64200, 0.018203
64300, 0.019670
64400, 0.019924
64500, 0.020841
64600, 0.019561
64700, 0.018812
64800, 0.020544
64900, 0.019621
65000, 0.020187
65100, 0.020861
65200, 0.019124
65300, 0.018539
65400, 0.019672
65500, 0.023321
65600, 0.022436
65700, 0.019669
65800, 0.020261
65900, 0.019153
66000, 0.018626
66100, 0.019768
66200, 0.018611
66300, 0.018527
66400, 0.018963
66500, 0.020706
66600, 0.019890
66700, 0.018849
66800, 0.019445
66900, 0.017004
67000, 0.021210
67100, 0.019741
67200, 0.018254
67300, 0.019880
67400, 0.018987
67500, 0.019126
67600, 0.021395
67700, 0.021855
67800, 0.020879
67900, 0.019761
68000, 0.021041
68100, 0.020867
68200, 0.018332
68300, 0.020827
68400, 0.017811
68500, 0.019046
68600, 0.020768
68700, 0.019643
68800, 0.022150
68900, 0.019278
69000, 0.019411
69100, 0.020192
69200, 0.018704
69300, 0.021204
69400, 0.019179
69500, 0.021778
69600, 0.020356
69700, 0.019240
69800, 0.029583
69900, 0.021758
70000, 0.019997
70100, 0.020837
70200, 0.021475
70300, 0.019303
70400, 0.019593
70500, 0.019428
70600, 0.024350
70700, 0.021169
70800, 0.020793
70900, 0.019845
71000, 0.019342
71100, 0.020349
71200, 0.022493
71300, 0.019572
71400, 0.020081
71500, 0.022431
71600, 0.020335
71700, 0.019336
71800, 0.024211
71900, 0.022956
72000, 0.021703
72100, 0.020736
72200, 0.020735
72300, 0.019540
72400, 0.022451
72500, 0.020978
72600, 0.020369
72700, 0.020292
72800, 0.023866
72900, 0.022667
73000, 0.025097
73100, 0.020054
73200, 0.020374
73300, 0.018989
73400, 0.022897
73500, 0.021925
73600, 0.022479
73700, 0.025386
73800, 0.021183
73900, 0.020673
74000, 0.024585
74100, 0.022974
74200, 0.020275
74300, 0.023029
74400, 0.026260
74500, 0.023385
74600, 0.021525
74700, 0.022096
74800, 0.022622
74900, 0.021474
75000, 0.025148
75100, 0.020814
75200, 0.019425
75300, 0.022458
75400, 0.023243
75500, 0.022663
75600, 0.022002
75700, 0.021588
75800, 0.022859
75900, 0.022913
76000, 0.022297
76100, 0.020761
76200, 0.021426
76300, 0.023382
76400, 0.025394
76500, 0.022100
76600, 0.020223
76700, 0.022295
76800, 0.024552
76900, 0.022761
77000, 0.023654
77100, 0.024148
77200, 0.022320
77300, 0.022823
77400, 0.024487
77500, 0.023913
77600, 0.022910
77700, 0.021766
77800, 0.024289
77900, 0.022583
78000, 0.020682
78100, 0.024849
78200, 0.023650
78300, 0.020747
78400, 0.024718
78500, 0.022940
78600, 0.023716
78700, 0.025011
78800, 0.021901
78900, 0.021399
79000, 0.023139
79100, 0.023531
79200, 0.023909
79300, 0.024277
79400, 0.024176
79500, 0.022619
79600, 0.020589
79700, 0.024742
79800, 0.023522
79900, 0.024345
80000, 0.022482
80100, 0.026232
80200, 0.023444
80300, 0.025924
80400, 0.022247
80500, 0.025719
80600, 0.027031
80700, 0.024907
80800, 0.023204
80900, 0.023787
81000, 0.023428
81100, 0.023148
81200, 0.023870
81300, 0.022591
81400, 0.024358
81500, 0.024453
81600, 0.023771
81700, 0.022136
81800, 0.024799
81900, 0.025069
82000, 0.023251
82100, 0.025786
82200, 0.023472
82300, 0.026482
82400, 0.023991
82500, 0.026245
82600, 0.026291
82700, 0.024327
82800, 0.027034
82900, 0.026627
83000, 0.024400
83100, 0.023405
83200, 0.022524
83300, 0.023875
83400, 0.023643
83500, 0.024981
83600, 0.026227
83700, 0.027356
83800, 0.023071
83900, 0.026257
84000, 0.022146
84100, 0.024369
84200, 0.024015
84300, 0.026431
84400, 0.026061
84500, 0.026144
84600, 0.024508
84700, 0.024051
84800, 0.023490
84900, 0.028337
85000, 0.024597
85100, 0.025280
85200, 0.024239
85300, 0.025977
85400, 0.023590
85500, 0.028148
85600, 0.025540
85700, 0.025827
85800, 0.021771
85900, 0.027686
86000, 0.028490
86100, 0.026282
86200, 0.025617
86300, 0.023090
86400, 0.026768
86500, 0.027683
86600, 0.027642
86700, 0.025308
86800, 0.025463
86900, 0.026594
87000, 0.024183
87100, 0.024914
87200, 0.024050
87300, 0.027819
87400, 0.026539
87500, 0.026788
87600, 0.026381
87700, 0.022834
87800, 0.028285
87900, 0.024490
88000, 0.027697
88100, 0.029268
88200, 0.021664
88300, 0.026907
88400, 0.026353
88500, 0.027262
88600, 0.026427
88700, 0.028757
88800, 0.027173
88900, 0.024568
89000, 0.026534
89100, 0.023292
89200, 0.026234
89300, 0.024221
89400, 0.029593
89500, 0.026055
89600, 0.027217
89700, 0.026668
89800, 0.027304
89900, 0.027230
90000, 0.028105
90100, 0.024984
90200, 0.029066
90300, 0.029425
90400, 0.028305
90500, 0.024569
90600, 0.023844
90700, 0.026148
90800, 0.024379
90900, 0.027040
91000, 0.026154
91100, 0.026736
91200, 0.028364
91300, 0.026303
91400, 0.028183
91500, 0.028436
91600, 0.023098
91700, 0.026668
91800, 0.024878
91900, 0.028317
92000, 0.030442
92100, 0.025206
92200, 0.027724
92300, 0.026068
92400, 0.027160
92500, 0.025990
92600, 0.029346
92700, 0.028296
92800, 0.027738
92900, 0.024100
93000, 0.028025
93100, 0.025573
93200, 0.025825
93300, 0.029126
93400, 0.027324
93500, 0.024718
93600, 0.030365
93700, 0.026496
93800, 0.026686
93900, 0.032964
94000, 0.028706
94100, 0.030166
94200, 0.029473
94300, 0.028565
94400, 0.028228
94500, 0.030007
94600, 0.025803
94700, 0.032551
94800, 0.025917
94900, 0.025114
95000, 0.027185
95100, 0.031731
95200, 0.024812
95300, 0.029528
95400, 0.030212
95500, 0.030619
95600, 0.029412
95700, 0.028337
95800, 0.026641
95900, 0.029924
96000, 0.025235
96100, 0.028419
96200, 0.029209
96300, 0.025388
96400, 0.028945
96500, 0.027165
96600, 0.031024
96700, 0.031413
96800, 0.027380
96900, 0.027071
97000, 0.029138
97100, 0.029166
97200, 0.030180
97300, 0.026211
97400, 0.025672
97500, 0.028711
97600, 0.029560
97700, 0.030955
97800, 0.031801
97900, 0.034143
98000, 0.029679
98100, 0.031899
98200, 0.028886
98300, 0.028461
98400, 0.031628
98500, 0.029660
98600, 0.029731
98700, 0.027218
98800, 0.031309
98900, 0.026931
99000, 0.026818
99100, 0.027121
99200, 0.031268
99300, 0.030395
99400, 0.029750
99500, 0.026442
99600, 0.031498
99700, 0.031709
99800, 0.029539
99900, 0.027573
100000, 0.027848
