n, time
35700, 0.824828
35800, 0.825641
35900, 0.831649
36000, 0.836174
36100, 0.840616
36200, 0.843637
36300, 0.845295
36400, 0.850210
36500, 0.854067
36600, 0.858656
36700, 0.865065
36800, 0.869043
36900, 0.873472
37000, 0.879698
37100, 0.884965
37200, 0.888361
37300, 0.892941
37400, 0.898950
37500, 0.903820
37600, 0.909264
37700, 0.911685
37800, 0.917803
37900, 0.922658
38000, 0.928475
38100, 0.931098
38200, 0.935309
38300, 0.941050
38400, 0.945021
38500, 0.950911
38600, 0.954578
38700, 0.958952
38800, 0.965338
38900, 0.970372
39000, 0.974868
39100, 0.980738
39200, 0.984537
39300, 0.992294
39400, 0.994735
39500, 1.002192
39600, 1.005680
39700, 1.013386
39800, 1.017079
39900, 1.022161
40000, 1.026202
40100, 1.032071
40200, 1.037828
40300, 1.042423
40400, 1.047323
40500, 1.053082
40600, 1.061128
40700, 1.067314
40800, 1.070550
40900, 1.076219
41000, 1.079807
41100, 1.083078
41200, 1.087858
41300, 1.094600
41400, 1.097790
41500, 1.105158
41600, 1.111670
41700, 1.114974
41800, 1.120762
41900, 1.125823
42000, 1.132510
42100, 1.136443
42200, 1.141455
42300, 1.148828
42400, 1.153164
42500, 1.161198
42600, 1.163234
42700, 1.169302
42800, 1.176148
42900, 1.179359
43000, 1.185461
43100, 1.190269
43200, 1.196709
43300, 1.202095
43400, 1.207817
43500, 1.214124
43600, 1.219621
43700, 1.225419
43800, 1.228249
43900, 1.234047
44000, 1.241686
44100, 1.245410
44200, 1.252016
44300, 1.257089
44400, 1.266621
44500, 1.268701
44600, 1.274395
44700, 1.284299
44800, 1.286380
44900, 1.291999
45000, 1.299202
45100, 1.303304
45200, 1.309236
45300, 1.315506
45400, 1.328586
45500, 1.326219
45600, 1.333698
45700, 1.337503
45800, 1.343330
45900, 1.350080
46000, 1.355685
46100, 1.361206
46200, 1.367476
46300, 1.373315
46400, 1.378227
46500, 1.385623
46600, 1.390520
46700, 1.396798
46800, 1.403989
46900, 1.408521
47000, 1.414802
47100, 1.422288
47200, 1.426349
47300, 1.432852
47400, 1.441838
47500, 1.445307
47600, 1.450617
47700, 1.458915
47800, 1.463947
47900, 1.470797
48000, 1.476047
48100, 1.482976
48200, 1.489930
48300, 1.495223
48400, 1.502005
48500, 1.507101
48600, 1.512766
48700, 1.519011
48800, 1.525874
48900, 1.530590
49000, 1.538524
49100, 1.546063
49200, 1.551575
49300, 1.557526
49400, 1.563631
49500, 1.570177
49600, 1.575719
49700, 1.582450
49800, 1.589608
49900, 1.594373
50000, 1.601213
50100, 1.608262
50200, 1.613709
50300, 1.621499
50400, 1.626639
50500, 1.633017
50600, 1.641517
50700, 1.645707
50800, 1.654221
50900, 1.658887
51000, 1.665834
51100, 1.673524
51200, 1.678452
51300, 1.688128
51400, 1.691490
51500, 1.699335
51600, 1.704908
51700, 1.711370
51800, 1.719328
51900, 1.724313
52000, 1.733055
52100, 1.738600
52200, 1.745802
52300, 1.751507
52400, 1.758569
52500, 1.766241
52600, 1.770958
52700, 1.780646
52800, 1.784871
52900, 1.793136
53000, 1.798414
53100, 1.805016
53200, 1.813858
53300, 1.818792
53400, 1.827183
53500, 1.833446
53600, 1.841148
53700, 1.846371
53800, 1.854762
53900, 1.859663
54000, 1.868555
54100, 1.874281
54200, 1.880800
54300, 1.888937
54400, 1.894138
54500, 1.903135
54600, 1.912040
54700, 1.917120
54800, 1.922931
54900, 1.930808
55000, 1.936847
55100, 1.945963
55200, 1.951091
55300, 1.967050
55400, 1.965280
55500, 1.973259
55600, 1.979294
55700, 1.986915
55800, 1.993158
55900, 2.002526
56000, 2.007420
56100, 2.016114
56200, 2.024523
56300, 2.030439
56400, 2.035974
56500, 2.045109
56600, 2.051313
56700, 2.060913
56800, 2.064734
56900, 2.074393
57000, 2.079640
57100, 2.088671
57200, 2.094035
57300, 2.103417
57400, 2.108860
57500, 2.118145
57600, 2.126294
57700, 2.132313
57800, 2.139287
57900, 2.147175
58000, 2.153747
58100, 2.162532
58200, 2.168721
58300, 2.177102
58400, 2.183097
58500, 2.192293
58600, 2.199502
58700, 2.215183
58800, 2.224230
58900, 2.222768
59000, 2.230813
59100, 2.237662
59200, 2.246435
59300, 2.252848
59400, 2.261359
59500, 2.268162
59600, 2.275807
59700, 2.283742
59800, 2.290562
59900, 2.299501
60000, 2.307841
60100, 2.315737
60200, 2.321184
60300, 2.331385
60400, 2.336343
60500, 2.343492
60600, 2.352319
60700, 2.358821
60800, 2.367362
60900, 2.376125
61000, 2.381741
61100, 2.391024
61200, 2.398268
61300, 2.407007
61400, 2.413519
61500, 2.422454
61600, 2.430173
61700, 2.437891
61800, 2.446057
61900, 2.452928
62000, 2.462252
62100, 2.471479
62200, 2.476499
62300, 2.486434
62400, 2.492969
62500, 2.501956
62600, 2.509037
62700, 2.517463
62800, 2.527167
62900, 2.534174
63000, 2.540279
63100, 2.549897
63200, 2.556157
63300, 2.566369
63400, 2.573780
63500, 2.581733
63600, 2.590603
63700, 2.598525
63800, 2.605455
63900, 2.615149
64000, 2.623052
64100, 2.631035
64200, 2.639489
64300, 2.647908
64400, 2.654492
64500, 2.664807
64600, 2.670887
64700, 2.680989
64800, 2.689235
64900, 2.696888
65000, 2.706102
65100, 2.715404
65200, 2.721574
65300, 2.730642
65400, 2.739521
65500, 2.746237
65600, 2.756262
65700, 2.764113
65800, 2.772714
65900, 2.780391
66000, 2.792320
66100, 2.797251
66200, 2.804374
66300, 2.814409
66400, 2.823237
66500, 2.830795
66600, 2.840043
66700, 2.849743
66800, 2.856336
66900, 2.865229
67000, 2.880379
67100, 2.883459
67200, 2.891521
67300, 2.900712
67400, 2.908638
67500, 2.916808
67600, 2.933739
67700, 2.934629
67800, 2.942817
67900, 2.952046
68000, 2.960127
68100, 2.969327
68200, 2.978696
68300, 2.985478
68400, 2.995663
68500, 3.004304
68600, 3.011570
68700, 3.021460
68800, 3.029388
68900, 3.040076
69000, 3.046854
69100, 3.056995
69200, 3.067623
69300, 3.074947
69400, 3.082622
69500, 3.092720
69600, 3.100891
69700, 3.110406
69800, 3.119515
69900, 3.126547
70000, 3.137496
70100, 3.146810
70200, 3.164021
70300, 3.163454
70400, 3.172466
70500, 3.181778
70600, 3.190744
70700, 3.199121
70800, 3.208426
70900, 3.218186
71000, 3.227006
71100, 3.238787
71200, 3.245365
71300, 3.254622
71400, 3.263982
71500, 3.272037
71600, 3.281922
71700, 3.291926
71800, 3.299364
71900, 3.314933
72000, 3.318641
72100, 3.327801
72200, 3.336945
72300, 3.346086
72400, 3.356062
72500, 3.365100
72600, 3.374778
72700, 3.383436
72800, 3.393126
72900, 3.403198
73000, 3.411625
73100, 3.420972
73200, 3.430911
73300, 3.439933
73400, 3.447866
73500, 3.457231
73600, 3.467961
73700, 3.477000
73800, 3.487158
73900, 3.497473
74000, 3.505249
74100, 3.515193
74200, 3.523885
74300, 3.534083
74400, 3.543790
74500, 3.553702
74600, 3.564413
74700, 3.572306
74800, 3.581697
74900, 3.591578
75000, 3.602085
75100, 3.609357
75200, 3.620335
75300, 3.630355
75400, 3.638970
75500, 3.650659
75600, 3.659461
75700, 3.668394
75800, 3.678570
75900, 3.688193
76000, 3.696750
76100, 3.706748
76200, 3.716759
76300, 3.730066
76400, 3.736523
76500, 3.745503
76600, 3.761560
76700, 3.766421
76800, 3.776512
76900, 3.786716
77000, 3.798866
77100, 3.808875
77200, 3.814826
77300, 3.824705
77400, 3.833043
77500, 3.845006
77600, 3.854823
77700, 3.864360
77800, 3.874252
77900, 3.889282
78000, 3.895364
78100, 3.907774
78200, 3.914798
78300, 3.925947
78400, 3.938747
78500, 3.948176
78600, 3.962879
78700, 3.965674
78800, 3.978343
78900, 3.986611
79000, 3.995382
79100, 4.005774
79200, 4.015069
79300, 4.025426
79400, 4.036850
79500, 4.045309
79600, 4.055742
79700, 4.065300
79800, 4.075966
79900, 4.086924
80000, 4.097913
80100, 4.107183
80200, 4.118414
80300, 4.127690
80400, 4.137410
80500, 4.148375
80600, 4.158945
80700, 4.168797
80800, 4.180756
80900, 4.189713
81000, 4.200061
81100, 4.210457
81200, 4.220840
81300, 4.231235
81400, 4.243157
81500, 4.252690
81600, 4.262392
81700, 4.272709
81800, 4.283225
81900, 4.294020
82000, 4.305024
82100, 4.314545
82200, 4.327526
82300, 4.335843
82400, 4.346523
82500, 4.357498
82600, 4.367456
82700, 4.378209
82800, 4.388342
82900, 4.398401
83000, 4.409626
83100, 4.420486
83200, 4.430620
83300, 4.442660
83400, 4.452498
83500, 4.463385
83600, 4.475850
83700, 4.484813
83800, 4.495481
83900, 4.513817
84000, 4.516032
84100, 4.527178
84200, 4.537700
84300, 4.550131
84400, 4.559880
84500, 4.570989
84600, 4.582559
84700, 4.592812
84800, 4.603207
84900, 4.614479
85000, 4.625614
85100, 4.635665
85200, 4.646697
85300, 4.657372
85400, 4.668764
85500, 4.683979
85600, 4.690437
85700, 4.702269
85800, 4.754766
85900, 4.769552
86000, 4.676262
86100, 4.689699
86200, 4.696837
86300, 4.713924
86400, 4.729636
86500, 4.738962
86600, 4.756199
86700, 4.776107
86800, 4.796613
86900, 4.814203
87000, 4.827950
87100, 4.849571
87200, 4.864753
87300, 4.880100
87400, 4.893674
87500, 4.904014
87600, 4.911578
87700, 4.923134
87800, 4.934192
87900, 4.946094
88000, 4.954347
88100, 4.968847
88200, 4.980242
88300, 4.993527
88400, 5.006677
88500, 5.013243
88600, 5.023755
88700, 5.036701
88800, 5.049185
88900, 5.058810
89000, 5.070708
89100, 5.081668
89200, 5.094516
89300, 5.104684
89400, 5.116084
