n, time
35700, 0.001954
35800, 0.001985
35900, 0.001974
36000, 0.001910
36100, 0.001878
36200, 0.001931
36300, 0.001913
36400, 0.001950
36500, 0.001965
36600, 0.001901
36700, 0.001886
36800, 0.001891
36900, 0.001946
37000, 0.001927
37100, 0.001992
37200, 0.001968
37300, 0.002046
37400, 0.001963
37500, 0.001977
37600, 0.001958
37700, 0.001980
37800, 0.002043
37900, 0.002032
38000, 0.002013
38100, 0.002079
38200, 0.002022
38300, 0.001967
38400, 0.001982
38500, 0.002043
38600, 0.002011
38700, 0.002050
38800, 0.002065
38900, 0.002149
39000, 0.002082
39100, 0.002073
39200, 0.002052
39300, 0.002105
39400, 0.002087
39500, 0.002091
39600, 0.002157
39700, 0.002166
39800, 0.002171
39900, 0.002078
40000, 0.002062
40100, 0.002096
40200, 0.002063
40300, 0.002128
40400, 0.002174
40500, 0.002228
40600, 0.002148
40700, 0.002142
40800, 0.002170
40900, 0.002113
41000, 0.002098
41100, 0.002201
41200, 0.002233
41300, 0.002247
41400, 0.002152
41500, 0.002141
41600, 0.002240
41700, 0.002176
41800, 0.002228
41900, 0.002266
42000, 0.002348
42100, 0.002269
42200, 0.002271
42300, 0.002292
42400, 0.002244
42500, 0.002224
42600, 0.002326
42700, 0.002314
42800, 0.002474
42900, 0.002390
43000, 0.002333
43100, 0.002265
43200, 0.002303
43300, 0.002408
43400, 0.002364
43500, 0.002449
43600, 0.002411
43700, 0.002412
43800, 0.002304
43900, 0.002310
44000, 0.002457
44100, 0.002405
44200, 0.002377
44300, 0.002371
44400, 0.002390
44500, 0.002345
44600, 0.002314
44700, 0.002478
44800, 0.002435
44900, 0.002364
45000, 0.002387
45100, 0.002391
45200, 0.002335
45300, 0.002394
45400, 0.002459
45500, 0.002570
45600, 0.002439
45700, 0.002486
45800, 0.002416
45900, 0.002404
46000, 0.002533
46100, 0.002530
46200, 0.002561
46300, 0.002489
46400, 0.002492
46500, 0.002473
46600, 0.002469
46700, 0.002580
46800, 0.002562
46900, 0.002525
47000, 0.002546
47100, 0.002529
47200, 0.002509
47300, 0.002558
47400, 0.002599
47500, 0.002606
47600, 0.002549
47700, 0.002546
47800, 0.002544
47900, 0.002545
48000, 0.002632
48100, 0.002602
48200, 0.002600
48300, 0.002523
48400, 0.002527
48500, 0.002524
48600, 0.002559
48700, 0.002629
48800, 0.002702
48900, 0.002622
49000, 0.002582
49100, 0.002590
49200, 0.002608
49300, 0.002781
49400, 0.002711
49500, 0.002749
49600, 0.002740
49700, 0.002753
49800, 0.002732
49900, 0.002788
50000, 0.002759
50100, 0.002689
50200, 0.002678
50300, 0.002668
50400, 0.002679
50500, 0.002790
50600, 0.002833
50700, 0.002843
50800, 0.002804
50900, 0.002808
51000, 0.002795
51100, 0.002813
51200, 0.002806
51300, 0.002828
51400, 0.002759
51500, 0.002746
51600, 0.002725
51700, 0.002845
51800, 0.002866
5190
